station_name,latitude,longitude
KANJIRAMITTAM RAILWAY STN,10.4325397,76.2623852
DIDARGANJ ROAD RAILWAY STN,27.7585937,80.2307372
AMBARNATH RAILWAY STN,19.1825167,73.1926023
AMBASA RAILWAY STN,23.921233,91.8512714
AMBASAMUDRAM RAILWAY STN,8.7035955,77.4485388
AMBAV RAILWAY STN,17.0522962,73.5653021
POKHARNI NRSNHA RAILWAY STN,19.1267817,76.750966
DHONDI RAILWAY STN,19.1267817,76.750966
SANGANNAPUR RAILWAY STN,19.1267817,76.750966
AMBIAPUR RAILWAY STN,28.2169201,78.6880908
AMBIKAPUR RAILWAY STN,23.1294374,83.1861138
AMBLIYASAN RAILWAY STN,23.8236375,72.2023262
SANKHAI RAILWAY STN,23.8236375,72.2023262
AMBUR RAILWAY STN,12.7801672,78.7177271
AMDARA RAILWAY STN,24.1099019,80.5841155
AMETHI RAILWAY STN,26.1540538,81.814238
SALAIA RAILWAY STN,22.887629,81.7404134
AMGHATA RAILWAY STN,23.4131423,88.4234245
AMGURI RAILWAY STN,26.8101683,94.5237707
SEMAPUR RAILWAY STN,25.5898748,84.8411536
RAKHITPUR RAILWAY STN,23.7327073,86.4971277
AMLA JUNCTION,21.9282789,78.130787
AMMANABROLU RAILWAY STN,15.5866602,80.1456496
RAPARLA HALT RAILWAY STN,15.5866602,80.1456496
AMMAPET RAILWAY STN,10.7970972,79.3156803
SAMPIGE ROAD RAILWAY STN,13.268916,76.7148927
BANASANDRA RAILWAY STN,13.268916,76.7148927
AMMASANDRA RAILWAY STN,13.268916,76.7148927
AMOD RAILWAY STN,21.9942159,72.8692711
AMONI RAILWAY STN,26.4518504,92.9101057
KENDUAPADA RAILWAY STN,21.0273177,86.3921491
AMRAVATI RAILWAY STN,20.9319821,77.7523039
AMRELI RAILWAY STN,21.6015242,71.2203555
KUNKAVAV JUNCTION,21.6015242,71.2203555
AMRELI PARA RAILWAY STN,21.6015242,71.2203555
HAMRE RAILWAY STN,21.6015242,71.2203555
AMRITSAR JUNCTION,31.6339793,74.8722642
AMROHA RAILWAY STN,28.9051778,78.467318
AMRITAPURA RAILWAY STN,13.7418045,75.8526692
PUNDHAG RAILWAY STN,22.9867569,87.8549755
ANAKAPALLE RAILWAY STN,17.6896435,83.0023634
PALLIPPURAM RAILWAY STN,9.6646067,77.1657716
